timestamp,0,1,2,3,4,5
2023-12-18 00:00:00,0.983,0.987,0.991,0.993,370.1075384615384,0.054974999999999996
2023-12-18 00:15:00,0.983,0.987,0.991,0.993,374.4325333333333,0.05473066666666662
2023-12-18 00:30:00,0.983,0.987,0.991,0.993,376.83466666666664,0.053460133333333305
2023-12-18 00:45:00,0.983,0.987,0.991,0.993,376.0089333333333,0.052775999999999997
2023-12-18 01:00:00,0.983,0.987,0.991,0.993,374.7328,0.05228733333333331
2023-12-18 01:15:00,0.983,1.0528000000000002,1.0570666666666668,1.0592000000000001,376.4593333333333,0.05199413333333331
2023-12-18 01:30:00,0.983,0.987,0.991,0.993,379.16173333333325,0.052873733333333305
2023-12-18 01:45:00,0.983,0.987,0.991,0.993,371.9553333333333,0.05429086666666662
2023-12-18 02:00:00,0.983,0.987,0.991,0.993,367.2261333333333,0.05639213333333331
2023-12-18 02:15:00,1.5072666666666668,1.5792000000000002,1.5856000000000001,1.5888,374.5826666666666,0.0413412
2023-12-18 02:30:00,1.966,1.974,1.982,1.986,375.6336,0.0252152
2023-12-18 02:45:00,1.966,1.974,2.0480666666666667,2.1184,370.3789333333333,0.0218434
2023-12-18 03:00:00,1.966,1.974,1.982,1.986,373.53173333333325,0.0231628
2023-12-18 03:15:00,1.9004666666666663,1.974,1.982,1.986,367.2261333333333,0.01915573333333331
2023-12-18 03:30:00,1.3761999999999999,1.5792000000000002,1.6516666666666666,1.655,368.8776,0.013878133333333308
2023-12-18 03:45:00,1.0485333333333335,1.1844,1.1892,1.1916,370.5290666666666,0.010310866666666618
2023-12-18 04:00:00,0.983,0.987,0.991,0.993,375.55853333333334,0.007232266666666618
2023-12-18 04:15:00,0.983,0.987,0.991,0.993,373.3816,0.0010261999999999266
2023-12-18 04:30:00,0.983,1.1844,1.1892,1.1916,370.3789333333333,0.006694733333333309
2023-12-18 04:45:00,1.8349333333333333,1.974,1.982,1.986,373.9821333333333,0.014366799999999999
2023-12-18 05:00:00,1.966,1.974,1.982,1.986,377.1349333333333,0.015441866666666618
2023-12-18 05:15:00,1.966,1.974,1.982,1.986,375.18319999999994,0.018618199999999998
2023-12-18 05:30:00,1.966,1.974,1.982,1.986,369.70333333333326,0.019742133333333307
2023-12-18 05:45:00,1.966,1.974,1.982,1.986,368.65239999999994,0.014073599999999999
2023-12-18 06:00:00,1.8349333333333333,1.9081999999999995,1.9159333333333328,1.9197999999999995,373.3816,0.010848400000000001
2023-12-18 06:15:00,1.9004666666666663,1.974,1.982,1.986,376.7596,0.005961733333333308
2023-12-18 06:30:00,1.966,1.974,1.982,1.986,381.5638666666666,0.004446866666666618
2023-12-18 06:45:00,1.966,2.1384999999999996,2.1471666666666667,2.1515,398.79166666666663,0.03677216666666662
2023-12-18 07:00:00,,,,,,
2023-12-18 07:15:00,,,,,,
2023-12-18 07:30:00,1.966,2.961,2.973,2.979,434.63599999999997,0.0
2023-12-18 07:45:00,14.220733333333335,14.8708,14.931066666666666,15.0274,425.1025333333333,0.03186106666666662
2023-12-18 08:00:00,14.1552,14.936599999999999,14.997133333333332,15.0274,409.48866666666663,0.0009773333333333088
2023-12-18 08:15:00,7.2742,7.5012,7.531599999999999,7.546799999999999,401.7568,0.0061572
2023-12-18 08:30:00,3.8009333333333326,3.8821999999999997,3.897933333333333,3.9057999999999997,398.7541333333333,0.008991466666666618
2023-12-18 08:45:00,2.3592,2.4346,2.4444666666666666,2.4494000000000002,382.0893333333333,0.0
2023-12-18 09:00:00,1.966,1.974,1.982,1.986,376.7596,0.0002932
2023-12-18 09:15:00,1.966,1.974,1.982,1.986,376.6094666666666,0.0009284666666666178
2023-12-18 09:30:00,1.9004666666666663,1.974,1.982,1.986,377.21,0.0017591999999999998
2023-12-18 09:45:00,1.9004666666666663,1.974,1.982,1.986,374.80786666666665,0.0013193999999999999
2023-12-18 10:00:00,1.966,1.974,1.982,1.986,372.7810666666666,0.0
2023-12-18 10:15:00,1.966,1.974,1.982,2.0522,376.90973333333324,0.00034206666666661777
2023-12-18 10:30:00,1.966,1.974,1.982,1.986,375.93386666666663,0.00039093333333330886
2023-12-18 10:45:00,2.3592,2.5004,2.510533333333333,2.5156,371.80519999999996,0.0
2023-12-18 11:00:00,2.949,2.961,2.973,2.979,371.80519999999996,0.0096756
2023-12-18 11:15:00,3.0145333333333335,3.3558,3.4354666666666667,3.4424,375.4083999999999,0.012070066666666619
2023-12-18 11:30:00,3.4732666666666665,3.816399999999999,3.964,3.972,377.43519999999995,0.003665
2023-12-18 11:45:00,3.7354,3.816399999999999,3.8318666666666656,3.839599999999999,379.7622666666666,4.886666666666667e-05
2023-12-18 12:00:00,3.8664666666666663,3.948,3.964,3.972,373.83199999999994,0.006108333333333309
2023-12-18 12:15:00,3.8664666666666663,3.948,3.964,3.972,375.4083999999999,0.0148066
2023-12-18 12:30:00,3.8664666666666663,3.948,3.964,3.972,382.84,0.017152199999999927
2023-12-18 12:45:00,3.8664666666666663,3.948,3.964,3.972,383.59066666666666,0.014415666666666617
2023-12-18 13:00:00,3.7354,3.8821999999999997,3.897933333333333,3.9057999999999997,380.2877333333332,0.013145133333333309
2023-12-18 13:15:00,3.0145333333333335,3.1584000000000003,3.1712000000000002,3.1776,376.98479999999995,0.04544599999999993
2023-12-18 13:30:00,2.8834666666666666,2.961,2.973,2.979,377.1349333333333,0.08400179999999999
2023-12-18 13:45:00,2.4247333333333336,2.8294,2.906933333333333,2.9128,376.6094666666666,0.08732473333333331
