timestamp,pm1,pm2.5,pm4,pm10,co2,tvoc
2023-12-18 00:00:00,0.96,0.95,0.93,0.93,409.72615384615386,0.0
2023-12-18 00:15:00,0.96,0.95,0.93,0.93,408.884,0.0
2023-12-18 00:30:00,0.96,0.95,0.93,0.93,410.788,0.0
2023-12-18 00:45:00,0.96,0.95,0.93,0.93,409.904,0.0
2023-12-18 01:00:00,0.96,0.95,0.93,0.93,399.704,0.00027333333333330595
2023-12-18 01:15:00,0.96,0.95,0.93,0.93,398.41200000000003,0.0
2023-12-18 01:30:00,0.96,0.95,0.93,0.93,404.87199999999996,0.0
2023-12-18 01:45:00,0.96,0.95,0.93,0.93,401.2,0.0
2023-12-18 02:00:00,0.96,0.95,0.93,0.93,405.68800000000005,0.0
2023-12-18 02:15:00,1.3439999999999999,1.5833333333333333,1.55,1.55,399.29599999999994,0.0
2023-12-18 02:30:00,1.92,1.9,1.86,1.86,407.388,0.0
2023-12-18 02:45:00,1.92,1.9,1.86,1.9220000000000004,414.732,0.0
2023-12-18 03:00:00,1.92,1.9,2.0460000000000003,2.0460000000000003,413.848,0.000765333333333306
2023-12-18 03:15:00,1.6,1.7733333333333332,1.7979999999999996,1.7979999999999996,410.58400000000006,0.0
2023-12-18 03:30:00,0.96,1.2666666666666666,1.3639999999999999,1.3639999999999999,404.80400000000003,0.00164
2023-12-18 03:45:00,0.96,0.95,0.93,0.93,407.796,0.0019679999999999997
2023-12-18 04:00:00,0.96,0.95,0.93,0.93,413.44,0.00891066666666661
2023-12-18 04:15:00,0.96,0.95,0.93,0.93,413.5759999999999,0.002569333333333306
2023-12-18 04:30:00,0.96,0.95,0.93,0.93,412.692,0.018477333333333307
2023-12-18 04:45:00,1.664,1.7733333333333332,1.7360000000000002,1.7979999999999996,411.264,0.02662266666666661
2023-12-18 05:00:00,1.92,1.9,1.86,1.86,422.144,0.032799999999999996
2023-12-18 05:15:00,1.92,1.9,1.86,1.9220000000000004,413.5759999999999,0.041164
2023-12-18 05:30:00,1.92,1.9,1.86,1.86,416.024,0.04515466666666661
2023-12-18 05:45:00,1.728,1.9,1.86,1.86,415.208,0.033237333333333306
2023-12-18 06:00:00,1.408,1.7733333333333332,1.7979999999999996,1.7979999999999996,413.64400000000006,0.026403999999999997
2023-12-18 06:15:00,1.728,1.8366666666666662,1.86,1.86,417.79200000000003,0.025037333333333304
2023-12-18 06:30:00,1.92,1.9,1.86,1.86,420.85200000000003,0.031159999999999997
2023-12-18 06:45:00,1.9840000000000002,2.1533333333333333,2.108,2.108,444.312,0.445588
2023-12-18 07:00:00,2.304,2.4066666666666663,2.356,2.356,451.996,0.5636133333333333
2023-12-18 07:15:00,,,,,,
2023-12-18 07:30:00,2.88,2.8499999999999996,2.79,2.79,452.37,0.0
2023-12-18 07:45:00,15.168,15.833333333333334,15.562000000000001,15.562000000000001,466.004,0.09976666666666661
2023-12-18 08:00:00,19.392,20.33,19.902,19.902,461.65200000000004,0.0
2023-12-18 08:15:00,9.92,10.513333333333332,10.292,10.292,457.504,0.0029519999999999998
2023-12-18 08:30:00,5.568,5.826666666666667,5.704000000000001,5.704000000000001,454.17199999999997,0.0031159999999999174
2023-12-18 08:45:00,3.392,3.61,3.595999999999999,3.595999999999999,444.788,0.0
2023-12-18 09:00:00,2.432,2.786666666666666,2.7279999999999998,2.7279999999999998,446.2159999999999,0.000601333333333306
2023-12-18 09:15:00,2.2399999999999998,2.533333333333333,2.48,2.48,444.38000000000005,0.0059039999999999995
2023-12-18 09:30:00,1.9840000000000002,2.3433333333333333,2.294,2.294,440.16400000000004,0.000765333333333306
2023-12-18 09:45:00,2.432,2.6599999999999997,2.6660000000000004,2.6660000000000004,434.792,0.006942666666666612
2023-12-18 10:00:00,2.368,2.5966666666666667,2.5420000000000003,2.5420000000000003,435.132,0.001530666666666612
2023-12-18 10:15:00,2.816,2.8499999999999996,2.79,2.79,425.136,0.0060133333333333054
2023-12-18 10:30:00,2.6879999999999997,2.723333333333333,2.6660000000000004,2.6660000000000004,431.9359999999999,0.005958666666666612
2023-12-18 10:45:00,3.072,3.2933333333333334,3.224,3.224,434.384,0.001038666666666612
2023-12-18 11:00:00,3.776,3.8,3.72,3.72,430.712,0.019133333333333304
2023-12-18 11:15:00,3.9680000000000004,4.306666666666667,4.216,4.216,428.33199999999994,0.02203066666666661
2023-12-18 11:30:00,3.9680000000000004,4.433333333333334,4.340000000000001,4.340000000000001,428.808,0.02022666666666661
2023-12-18 11:45:00,4.351999999999999,4.623333333333333,4.588,4.588,427.85599999999994,0.011643999999999918
2023-12-18 12:00:00,4.48,4.75,4.65,4.65,434.384,0.012409333333333305
2023-12-18 12:15:00,4.608,4.623333333333333,4.588,4.65,434.384,0.01809466666666661
2023-12-18 12:30:00,4.8,4.813333333333333,4.712,4.712,431.324,0.019461333333333306
2023-12-18 12:45:00,4.736,4.75,4.65,4.65,432.752,0.016564
2023-12-18 13:00:00,4.48,4.56,4.464,4.464,432.616,0.024545333333333304
2023-12-18 13:15:00,3.1359999999999997,3.23,3.162,3.162,435.20000000000005,0.049856
2023-12-18 13:30:00,2.88,2.8499999999999996,2.8520000000000003,2.8520000000000003,439.55199999999996,0.071996
2023-12-18 13:45:00,2.432,2.786666666666666,2.7279999999999998,2.79,438.94,0.07297999999999999
2023-12-18 14:00:00,2.304,2.4699999999999998,2.5420000000000003,2.5420000000000003,435.676,0.0694813333333333
2023-12-18 14:15:00,2.432,2.786666666666666,2.7279999999999998,2.7279999999999998,435.812,0.06166399999999992
