Timestamp,PM 1.0,PM 2.5,PM 4.0,PM 10
2023-12-18 00:00:00,1.784,1.784,1.78,1.778
2023-12-18 00:15:00,1.784,1.784,1.78,1.778
2023-12-18 00:30:00,1.784,1.784,1.78,1.778
2023-12-18 00:45:00,1.784,1.784,1.78,1.778
2023-12-18 01:00:00,1.784,1.784,1.78,1.778
2023-12-18 01:15:00,1.784,1.784,1.78,1.778
2023-12-18 01:30:00,1.784,1.784,1.78,1.778
2023-12-18 01:45:00,1.6650666666666667,1.784,1.78,1.778
2023-12-18 02:00:00,1.784,1.784,1.78,1.778
2023-12-18 02:15:00,2.3192,2.4381333333333335,2.432666666666667,2.4299333333333335
2023-12-18 02:30:00,2.735466666666667,3.0328,3.026,3.081866666666667
2023-12-18 02:45:00,3.0922666666666667,3.568,3.56,3.556
2023-12-18 03:00:00,3.0922666666666667,3.3895999999999997,3.3819999999999997,3.3782
2023-12-18 03:15:00,2.676,2.735466666666667,2.7293333333333334,2.726266666666667
2023-12-18 03:30:00,2.0218666666666665,2.5570666666666666,2.5513333333333335,2.5484666666666667
2023-12-18 03:45:00,1.784,1.784,1.8393333333333335,1.8372666666666668
2023-12-18 04:00:00,1.7245333333333333,1.784,1.78,1.778
2023-12-18 04:15:00,1.784,1.784,1.78,1.778
2023-12-18 04:30:00,1.784,1.8434666666666668,1.8393333333333335,1.8372666666666668
2023-12-18 04:45:00,2.6165333333333334,2.8544,2.8480000000000003,2.9040666666666666
2023-12-18 05:00:00,2.913866666666667,3.330133333333333,3.322666666666666,3.318933333333333
2023-12-18 05:15:00,3.4490666666666665,3.568,3.56,3.556
2023-12-18 05:30:00,2.735466666666667,2.973333333333333,2.9666666666666663,2.963333333333333
2023-12-18 05:45:00,2.676,2.676,2.67,2.667
2023-12-18 06:00:00,2.4381333333333335,2.6165333333333334,2.6106666666666665,2.667
2023-12-18 06:15:00,2.676,2.7949333333333333,2.788666666666667,2.7855333333333334
2023-12-18 06:30:00,2.913866666666667,3.2706666666666666,3.322666666666666,3.318933333333333
2023-12-18 06:45:00,3.6274666666666664,3.8058666666666667,3.7973333333333334,3.793066666666667
2023-12-18 07:00:00,3.9248000000000003,4.341066666666666,4.331333333333333,4.326466666666667
2023-12-18 07:15:00,3.7464000000000004,4.222133333333334,4.272,4.2672
2023-12-18 07:30:00,4.162666666666667,4.46,4.45,4.445
2023-12-18 07:45:00,21.2296,22.4784,22.428,22.4028
2023-12-18 08:00:00,27.94933333333333,29.37653333333333,29.310666666666663,29.27773333333333
2023-12-18 08:15:00,15.282933333333332,16.174933333333332,16.138666666666666,16.120533333333334
2023-12-18 08:30:00,8.682133333333333,9.038933333333333,9.018666666666666,9.008533333333332
2023-12-18 08:45:00,5.054666666666667,5.352,5.34,5.334
2023-12-18 09:00:00,4.162666666666667,4.222133333333334,4.212666666666667,4.207933333333333
2023-12-18 09:15:00,3.568,3.6869333333333336,3.678666666666667,3.6745333333333337
2023-12-18 09:30:00,3.5085333333333333,3.568,3.56,3.556
2023-12-18 09:45:00,3.568,3.568,3.56,3.556
2023-12-18 10:00:00,3.7464000000000004,3.9842666666666666,3.9753333333333334,3.9708666666666668
2023-12-18 10:15:00,4.222133333333334,4.400533333333334,4.390666666666667,4.3857333333333335
2023-12-18 10:30:00,3.865333333333333,4.162666666666667,4.153333333333333,4.148666666666667
2023-12-18 10:45:00,4.697866666666667,4.9952,4.984,4.9784
2023-12-18 11:00:00,5.649333333333333,6.184533333333333,6.23,6.223
2023-12-18 11:15:00,6.125066666666666,6.6008000000000004,6.586,6.578600000000001
2023-12-18 11:30:00,6.6008000000000004,7.017066666666667,7.001333333333333,6.9934666666666665
2023-12-18 11:45:00,6.7791999999999994,7.254933333333333,7.238666666666666,7.230533333333333
2023-12-18 12:00:00,7.017066666666667,7.373866666666667,7.357333333333334,7.349066666666667
2023-12-18 12:15:00,7.076533333333334,7.1954666666666665,7.179333333333333,7.171266666666667
2023-12-18 12:30:00,6.898133333333334,7.373866666666667,7.357333333333334,7.349066666666667
2023-12-18 12:45:00,7.136,7.373866666666667,7.357333333333334,7.349066666666667
2023-12-18 13:00:00,6.898133333333334,7.314399999999999,7.357333333333334,7.349066666666667
2023-12-18 13:15:00,5.5898666666666665,6.184533333333333,6.170666666666667,6.163733333333334
2023-12-18 13:30:00,4.757333333333333,5.054666666666667,5.043333333333334,5.037666666666667
2023-12-18 13:45:00,4.46,4.6384,4.746666666666666,4.741333333333333
2023-12-18 14:00:00,3.9842666666666666,4.341066666666666,4.331333333333333,4.326466666666667
2023-12-18 14:15:00,4.400533333333334,4.46,4.45,4.445
2023-12-18 14:30:00,4.043733333333333,4.341066666666666,4.331333333333333,4.326466666666667
2023-12-18 14:45:00,3.6274666666666664,4.162666666666667,4.153333333333333,4.207933333333333
2023-12-18 15:00:00,3.7464000000000004,4.043733333333333,4.034666666666666,4.030133333333334
2023-12-18 15:15:00,3.568,3.8058666666666667,3.8566666666666665,3.9116000000000004
2023-12-18 15:30:00,3.6274666666666664,4.043733333333333,4.093999999999999,4.0893999999999995
2023-12-18 15:45:00,3.6274666666666664,3.865333333333333,3.8566666666666665,3.9116000000000004
2023-12-18 16:00:00,3.6274666666666664,3.865333333333333,3.8566666666666665,3.852333333333333
2023-12-18 16:15:00,3.568,3.6869333333333336,3.678666666666667,3.6745333333333337
2023-12-18 16:30:00,3.568,3.6869333333333336,3.7380000000000004,3.7338
2023-12-18 16:45:00,3.568,3.568,3.619333333333333,3.6152666666666664
2023-12-18 17:00:00,3.568,3.568,3.56,3.556
